# sf,power,energy,firstSentPacket,packetColid,packetTotalLost
8,20,0.0229,1,0,0
8,20,0.0265,2,1,0
9,20,0.0300,2,2,0
12,20,0.0365,2,2,0
7,20,0.0823,3,2,0
8,20,0.0842,4,3,0
9,20,0.0878,5,4,0
10,20,0.0942,5,4,0
10,20,0.1071,5,4,0
10,20,0.1200,6,4,0
10,20,0.1329,7,4,0
8,20,0.1457,8,4,0
8,20,0.1493,9,5,0
9,20,0.1529,9,6,0
12,20,0.1593,9,6,0
10,20,0.2051,10,6,0
7,20,0.2180,11,6,0
8,20,0.2199,12,7,0
9,20,0.2235,12,8,0
7,20,0.2300,12,8,0
8,20,0.2319,13,9,0
9,20,0.2355,13,10,0
7,20,0.2419,13,10,0
8,20,0.2439,14,11,0
9,20,0.2475,14,12,0
7,20,0.2539,14,12,0
8,20,0.2559,15,13,0
9,20,0.2594,15,14,0
12,20,0.2659,15,14,0
11,20,0.3117,16,14,0
9,20,0.3346,17,14,0
9,20,0.3410,18,14,0
8,20,0.3474,19,14,0
8,20,0.3510,20,15,0
9,20,0.3546,20,16,0
11,20,0.3610,20,16,0
11,20,0.3839,21,16,0
9,20,0.4068,22,16,0
11,20,0.4133,23,16,0
10,20,0.4362,24,16,0
8,20,0.4490,25,16,0
8,20,0.4526,26,17,0
9,20,0.4562,27,18,0
7,20,0.4626,28,18,0
8,20,0.4646,28,19,0
9,20,0.4681,29,20,0
9,20,0.4746,29,20,0
11,20,0.4810,30,20,0
12,20,0.5039,30,20,0
12,20,0.5497,30,20,0
12,20,0.5955,31,20,0
10,20,0.6413,32,20,0
8,20,0.6542,33,20,0
8,20,0.6577,34,21,0
9,20,0.6613,35,22,0
8,20,0.6678,35,22,0
8,20,0.6713,35,23,0
9,20,0.6749,36,24,0
10,20,0.6813,37,24,0
7,20,0.6942,38,24,0
8,20,0.6962,38,25,0
9,20,0.6997,38,26,0
7,20,0.7062,39,26,0
8,20,0.7081,40,27,0
9,20,0.7117,40,28,0
9,20,0.7182,40,28,0
8,20,0.7246,40,28,0
8,20,0.7282,40,29,0
9,20,0.7317,40,30,0
10,20,0.7382,40,30,0
11,20,0.7510,41,30,0
9,20,0.7739,42,30,0
8,20,0.7804,43,30,0
8,20,0.7839,44,31,0
9,20,0.7875,45,32,0
9,20,0.7940,45,32,0
11,20,0.8004,46,32,0
7,20,0.8233,47,32,0
8,20,0.8253,48,33,0
9,20,0.8288,48,34,0
10,20,0.8353,49,34,0
8,20,0.8481,50,34,0
8,20,0.8517,50,35,0
9,20,0.8553,50,36,0
10,20,0.8617,51,36,0
10,20,0.8746,51,36,0
11,20,0.8875,52,36,0
8,20,0.9104,53,36,0
8,20,0.9139,53,37,0
9,20,0.9175,54,38,0
9,20,0.9239,54,38,0
8,20,0.9304,55,38,0
8,20,0.9339,55,39,0
9,20,0.9375,55,40,0
12,20,0.9440,55,40,0
7,20,0.9898,56,40,0
8,20,0.9917,57,41,0
9,20,0.9953,57,42,0
8,20,1.0017,58,42,0
8,20,1.0053,59,43,0
9,20,1.0089,59,44,0
9,20,1.0153,59,44,0
7,20,1.0217,60,44,0
8,20,1.0237,61,45,0
9,20,1.0273,62,46,0
10,20,1.0337,62,46,0
11,20,1.0466,62,46,0
8,20,1.0695,62,46,0
8,20,1.0731,63,47,0
9,20,1.0766,64,48,0
9,20,1.0831,65,48,0
10,20,1.0895,65,48,0
12,20,1.1024,66,48,0
8,20,1.1482,66,48,0
8,20,1.1517,67,49,0
9,20,1.1553,68,50,0
9,20,1.1618,68,50,0
12,20,1.1682,69,50,0
7,20,1.2140,70,50,0
8,20,1.2159,71,51,0
9,20,1.2195,71,52,0
7,20,1.2260,71,52,0
8,20,1.2279,72,53,0
9,20,1.2315,73,54,0
9,20,1.2379,73,54,0
7,20,1.2444,74,54,0
8,20,1.2463,75,55,0
9,20,1.2499,75,56,0
12,20,1.2563,75,56,0
12,20,1.3021,75,56,0
11,20,1.3479,76,56,0
7,20,1.3708,76,56,0
8,20,1.3728,77,57,0
9,20,1.3764,78,58,0
8,20,1.3828,79,58,0
8,20,1.3864,80,59,0
9,20,1.3899,80,60,0
12,20,1.3964,80,60,0
9,20,1.4422,81,60,0
11,20,1.4486,81,60,0
8,20,1.4715,82,60,0
8,20,1.4751,83,61,0
9,20,1.4787,84,62,0
9,20,1.4851,84,62,0
8,20,1.4915,85,62,0
8,20,1.4951,86,63,0
9,20,1.4987,86,64,0
11,20,1.5051,86,64,0
8,20,1.5280,86,64,0
8,20,1.5316,86,65,0
9,20,1.5352,87,66,0
8,20,1.5416,88,66,0
8,20,1.5452,89,67,0
9,20,1.5487,89,68,0
11,20,1.5552,89,68,0
8,20,1.5781,90,68,0
8,20,1.5816,91,69,0
9,20,1.5852,91,70,0
9,20,1.5917,92,70,0
10,20,1.5981,92,70,0
