# sf,power,energy,firstSentPacket,packetColid,packetTotalLost
8,20,0.0020,1,1,0
9,20,0.0055,1,2,0
10,20,0.0120,1,2,0
8,20,0.0248,2,2,0
8,20,0.0284,3,3,0
9,20,0.0320,4,4,0
7,20,0.0384,4,4,0
8,20,0.0404,4,5,0
9,20,0.0440,4,6,0
7,20,0.0504,4,6,0
8,20,0.0524,5,7,0
9,20,0.0559,5,8,0
9,20,0.0624,5,8,0
12,20,0.0688,6,8,0
12,20,0.1146,7,8,0
11,20,0.1604,8,8,0
7,20,0.1833,9,8,0
8,20,0.1853,10,9,0
9,20,0.1888,10,10,0
8,20,0.1953,10,10,0
8,20,0.1988,11,11,0
9,20,0.2024,11,12,0
9,20,0.2089,11,12,0
11,20,0.2153,12,12,0
7,20,0.2382,13,12,0
8,20,0.2402,14,13,0
9,20,0.2437,15,14,0
8,20,0.2502,15,14,0
8,20,0.2537,15,15,0
9,20,0.2573,16,16,0
11,20,0.2637,16,16,0
7,20,0.2866,16,16,0
8,20,0.2886,17,17,0
9,20,0.2922,18,18,0
11,20,0.2986,18,18,0
10,20,0.3215,18,18,0
9,20,0.3344,19,18,0
12,20,0.3408,20,18,0
7,20,0.3866,21,18,0
8,20,0.3886,22,19,0
9,20,0.3922,22,20,0
8,20,0.3986,22,20,0
8,20,0.4022,23,21,0
9,20,0.4057,23,22,0
7,20,0.4122,23,22,0
8,20,0.4141,24,23,0
9,20,0.4177,25,24,0
8,20,0.4241,26,24,0
8,20,0.4277,26,25,0
9,20,0.4313,27,26,0
10,20,0.4377,27,26,0
7,20,0.4506,28,26,0
8,20,0.4526,28,27,0
9,20,0.4561,28,28,0
10,20,0.4626,28,28,0
9,20,0.4754,29,28,0
12,20,0.4819,29,28,0
7,20,0.5277,30,28,0
8,20,0.5296,31,29,0
9,20,0.5332,31,30,0
10,20,0.5396,32,30,0
8,20,0.5525,32,30,0
8,20,0.5561,33,31,0
9,20,0.5597,33,32,0
8,20,0.5661,33,32,0
8,20,0.5697,34,33,0
9,20,0.5732,34,34,0
12,20,0.5797,35,34,0
11,20,0.6255,35,34,0
7,20,0.6484,36,34,0
8,20,0.6503,37,35,0
9,20,0.6539,38,36,0
9,20,0.6603,39,36,0
11,20,0.6668,39,36,0
10,20,0.6897,40,36,0
9,20,0.7026,41,36,0
12,20,0.7090,41,36,0
10,20,0.7548,42,36,0
10,20,0.7677,43,36,0
10,20,0.7805,44,36,0
10,20,0.7934,45,36,0
9,20,0.8063,46,36,0
7,20,0.8127,47,36,0
8,20,0.8147,48,37,0
9,20,0.8182,48,38,0
11,20,0.8247,48,38,0
8,20,0.8476,49,38,0
8,20,0.8511,50,39,0
9,20,0.8547,51,40,0
8,20,0.8612,52,40,0
8,20,0.8647,52,41,0
9,20,0.8683,53,42,0
12,20,0.8747,54,42,0
12,20,0.9205,55,42,0
9,20,0.9663,55,42,0
11,20,0.9728,55,42,0
11,20,0.9957,56,42,0
10,20,1.0186,57,42,0
9,20,1.0314,58,42,0
8,20,1.0379,58,42,0
8,20,1.0414,59,43,0
9,20,1.0450,59,44,0
12,20,1.0514,60,44,0
7,20,1.0972,60,44,0
8,20,1.0992,61,45,0
9,20,1.1028,62,46,0
7,20,1.1092,62,46,0
8,20,1.1112,62,47,0
9,20,1.1148,63,48,0
10,20,1.1212,63,48,0
7,20,1.1341,63,48,0
8,20,1.1360,64,49,0
9,20,1.1396,65,50,0
12,20,1.1460,66,50,0
12,20,1.1918,67,50,0
9,20,1.2376,67,50,0
7,20,1.2441,68,50,0
8,20,1.2460,69,51,0
9,20,1.2496,69,52,0
12,20,1.2560,70,52,0
11,20,1.3018,70,52,0
9,20,1.3247,71,52,0
9,20,1.3312,72,52,0
11,20,1.3376,72,52,0
