# sf,power,energy,firstSentPacket,packetColid,packetTotalLost
8,20,0.0036,1,1,0
9,20,0.0071,1,2,0
10,20,0.0136,1,3,0
12,20,0.0265,1,3,0
10,20,0.0722,2,3,0
10,20,0.0851,3,3,0
10,20,0.0980,4,3,0
11,20,0.1109,5,3,0
7,20,0.1338,6,3,0
8,20,0.1357,7,4,0
9,20,0.1393,7,5,0
10,20,0.1457,7,6,0
8,20,0.1586,7,6,0
8,20,0.1622,8,7,0
9,20,0.1658,8,8,0
10,20,0.1722,8,9,0
8,20,0.1851,8,9,0
8,20,0.1886,9,10,0
9,20,0.1922,9,11,0
10,20,0.1986,9,12,0
11,20,0.2115,9,12,0
10,20,0.2344,10,12,0
10,20,0.2473,11,12,0
12,20,0.2602,12,12,0
11,20,0.3059,13,12,0
10,20,0.3288,14,12,0
9,20,0.3417,15,12,0
8,20,0.3482,16,13,0
9,20,0.3517,17,14,0
10,20,0.3582,17,15,0
12,20,0.3710,17,15,0
9,20,0.4168,18,15,0
8,20,0.4233,19,16,0
9,20,0.4268,19,17,0
10,20,0.4333,19,18,0
7,20,0.4461,19,18,0
8,20,0.4481,19,19,0
9,20,0.4517,19,20,0
10,20,0.4581,19,21,0
10,20,0.4710,20,21,0
7,20,0.4839,20,21,0
8,20,0.4858,21,22,0
9,20,0.4894,22,23,0
10,20,0.4958,22,24,0
10,20,0.5087,23,24,0
11,20,0.5216,23,24,0
10,20,0.5445,23,24,0
10,20,0.5573,24,24,0
7,20,0.5702,25,24,0
8,20,0.5722,26,25,0
9,20,0.5758,27,26,0
10,20,0.5822,28,27,0
10,20,0.5951,28,27,0
10,20,0.6079,28,27,0
12,20,0.6208,28,27,0
11,20,0.6666,29,27,0
10,20,0.6895,30,27,0
8,20,0.7024,31,27,0
8,20,0.7059,32,28,0
9,20,0.7095,33,29,0
10,20,0.7159,33,30,0
8,20,0.7288,34,30,0
8,20,0.7324,35,31,0
9,20,0.7360,35,32,0
10,20,0.7424,35,33,0
12,20,0.7553,35,33,0
7,20,0.8011,36,33,0
8,20,0.8030,37,34,0
9,20,0.8066,37,35,0
10,20,0.8130,37,36,0
12,20,0.8259,38,36,0
8,20,0.8717,38,36,0
8,20,0.8753,38,37,0
9,20,0.8789,38,38,0
10,20,0.8853,38,39,0
7,20,0.8982,39,39,0
8,20,0.9001,39,40,0
9,20,0.9037,39,41,0
10,20,0.9101,39,42,0
9,20,0.9230,40,42,0
8,20,0.9294,40,43,0
9,20,0.9330,41,44,0
10,20,0.9394,41,45,0
10,20,0.9523,41,45,0
11,20,0.9652,41,45,0
10,20,0.9881,41,45,0
12,20,1.0010,42,45,0
11,20,1.0468,43,45,0
10,20,1.0697,44,45,0
11,20,1.0825,45,45,0
11,20,1.1054,46,45,0
8,20,1.1283,47,45,0
8,20,1.1319,48,46,0
9,20,1.1355,49,47,0
10,20,1.1419,49,48,0
9,20,1.1548,49,48,0
8,20,1.1612,50,49,0
9,20,1.1648,50,50,0
10,20,1.1712,51,51,0
10,20,1.1841,51,51,0
8,20,1.1970,51,51,0
8,20,1.2005,52,52,0
9,20,1.2041,52,53,0
10,20,1.2105,52,54,0
8,20,1.2234,53,54,0
8,20,1.2270,53,55,0
9,20,1.2306,54,56,0
10,20,1.2370,54,57,0
12,20,1.2499,54,57,0
7,20,1.2957,54,57,0
8,20,1.2976,54,58,0
9,20,1.3012,55,59,0
10,20,1.3076,55,60,0
9,20,1.3205,56,60,0
8,20,1.3269,56,61,0
9,20,1.3305,56,62,0
10,20,1.3370,57,63,0
8,20,1.3498,58,63,0
8,20,1.3534,58,64,0
9,20,1.3570,58,65,0
10,20,1.3634,59,66,0
11,20,1.3763,59,66,0
10,20,1.3992,60,66,0
11,20,1.4120,60,66,0
11,20,1.4349,60,66,0
11,20,1.4578,60,66,0
10,20,1.4807,61,66,0
9,20,1.4936,62,66,0
8,20,1.5000,63,67,0
9,20,1.5036,63,68,0
10,20,1.5101,64,69,0
12,20,1.5229,64,69,0
10,20,1.5687,64,69,0
10,20,1.5816,65,69,0
9,20,1.5945,66,69,0
8,20,1.6009,67,70,0
9,20,1.6045,68,71,0
10,20,1.6109,69,72,0
7,20,1.6238,69,72,0
8,20,1.6257,69,73,0
9,20,1.6293,69,74,0
10,20,1.6358,70,75,0
12,20,1.6486,71,75,0
8,20,1.6944,71,75,0
8,20,1.6980,72,76,0
9,20,1.7016,72,77,0
10,20,1.7080,72,78,0
9,20,1.7209,72,78,0
8,20,1.7273,73,79,0
9,20,1.7309,73,80,0
10,20,1.7373,74,81,0
11,20,1.7502,74,81,0
9,20,1.7731,75,81,0
8,20,1.7795,75,82,0
9,20,1.7831,75,83,0
