# sf,power,energy,firstSentPacket,packetColid,packetTotalLost
7,20,0.0064,1,0,0
9,20,0.0084,2,0,0
12,20,0.0148,3,0,0
8,20,0.0606,4,0,0
9,20,0.0642,5,0,0
11,20,0.0706,6,0,0
7,20,0.0935,7,0,0
7,20,0.0955,8,0,0
9,20,0.0975,9,0,0
8,20,0.1039,10,0,0
7,20,0.1075,11,0,0
9,20,0.1094,12,0,0
10,20,0.1159,13,0,0
8,20,0.1287,14,0,0
7,20,0.1323,15,0,0
11,20,0.1343,16,0,0
12,20,0.1572,17,0,0
10,20,0.2030,18,0,0
7,20,0.2158,19,0,0
12,20,0.2178,20,0,0
11,20,0.2636,21,0,0
9,20,0.2865,22,0,0
12,20,0.2929,23,0,0
11,20,0.3387,24,0,0
12,20,0.3616,25,0,0
12,20,0.4074,26,0,0
12,20,0.4532,27,0,0
8,20,0.4990,28,0,0
12,20,0.5026,29,0,0
10,20,0.5484,30,0,0
8,20,0.5613,31,0,0
10,20,0.5648,32,0,0
7,20,0.5777,33,0,0
9,20,0.5797,34,0,0
10,20,0.5861,35,0,0
7,20,0.5990,36,0,0
7,20,0.6009,37,0,0
7,20,0.6029,38,0,0
12,20,0.6049,39,0,0
9,20,0.6507,40,0,0
11,20,0.6571,41,0,0
11,20,0.6800,42,0,0
7,20,0.7029,43,0,0
8,20,0.7049,44,0,0
9,20,0.7084,45,0,0
8,20,0.7149,46,0,0
12,20,0.7184,47,0,0
8,20,0.7642,48,0,0
11,20,0.7678,49,0,0
8,20,0.7907,50,0,0
8,20,0.7943,51,0,0
8,20,0.7979,52,0,0
7,20,0.8014,53,0,0
7,20,0.8034,54,0,0
8,20,0.8054,55,0,0
12,20,0.8089,56,0,0
12,20,0.8547,57,0,0
8,20,0.9005,58,0,0
9,20,0.9041,59,0,0
8,20,0.9105,60,0,0
12,20,0.9141,61,0,0
9,20,0.9599,62,0,0
12,20,0.9663,63,0,0
11,20,1.0121,64,0,0
11,20,1.0350,65,0,0
7,20,1.0579,66,0,0
12,20,1.0599,67,0,0
9,20,1.1057,68,0,0
9,20,1.1121,69,0,0
9,20,1.1186,70,0,0
9,20,1.1250,71,0,0
8,20,1.1314,72,0,0
12,20,1.1350,73,0,0
7,20,1.1808,74,0,0
11,20,1.1828,75,0,0
10,20,1.2057,76,0,0
9,20,1.2185,77,0,0
12,20,1.2250,78,0,0
8,20,1.2708,79,0,0
11,20,1.2743,80,0,0
9,20,1.2972,81,0,0
10,20,1.3037,82,0,0
8,20,1.3165,83,0,0
10,20,1.3201,84,0,0
10,20,1.3330,85,0,0
10,20,1.3459,86,0,0
9,20,1.3587,87,0,0
9,20,1.3652,88,0,0
7,20,1.3716,89,0,0
9,20,1.3736,90,0,0
9,20,1.3800,91,0,0
11,20,1.3864,92,0,0
11,20,1.4093,93,0,0
8,20,1.4322,94,0,0
9,20,1.4358,95,0,0
7,20,1.4422,96,0,0
8,20,1.4442,97,0,0
9,20,1.4478,98,0,0
9,20,1.4542,99,0,0
11,20,1.4606,100,0,0
10,20,1.4835,101,0,0
12,20,1.4964,102,0,0
11,20,1.5422,103,0,0
9,20,1.5651,104,0,0
11,20,1.5715,105,0,0
11,20,1.5944,106,0,0
12,20,1.6173,107,0,0
12,20,1.6631,108,0,0
11,20,1.7089,109,0,0
12,20,1.7318,110,0,0
8,20,1.7776,111,0,0
8,20,1.7812,112,0,0
11,20,1.7848,113,0,0
8,20,1.8077,114,0,0
7,20,1.8112,115,0,0
9,20,1.8132,116,0,0
7,20,1.8196,117,0,0
10,20,1.8216,118,0,0
7,20,1.8345,119,0,0
10,20,1.8364,120,0,0
11,20,1.8493,121,0,0
8,20,1.8722,122,0,0
11,20,1.8758,123,0,0
7,20,1.8987,124,0,0
7,20,1.9006,125,0,0
12,20,1.9026,126,0,0
11,20,1.9484,127,0,0
11,20,1.9713,128,0,0
10,20,1.9942,129,0,0
7,20,2.0071,130,0,0
7,20,2.0090,131,0,0
12,20,2.0110,132,0,0
10,20,2.0568,133,0,0
9,20,2.0697,134,0,0
10,20,2.0761,135,0,0
10,20,2.0890,136,0,0
10,20,2.1018,137,0,0
7,20,2.1147,138,0,0
9,20,2.1167,139,0,0
10,20,2.1231,140,0,0
9,20,2.1360,141,0,0
7,20,2.1424,142,0,0
10,20,2.1444,143,0,0
11,20,2.1573,144,0,0
7,20,2.1802,145,0,0
7,20,2.1821,146,0,0
12,20,2.1841,147,0,0
10,20,2.2299,148,0,0
12,20,2.2428,149,0,0
7,20,2.2886,150,0,0
9,20,2.2905,151,0,0
9,20,2.2970,152,0,0
9,20,2.3034,153,0,0
7,20,2.3098,154,0,0
8,20,2.3118,155,0,0
8,20,2.3154,156,0,0
11,20,2.3189,157,0,0
10,20,2.3418,158,0,0
7,20,2.3547,159,0,0
11,20,2.3567,160,0,0
8,20,2.3796,161,0,0
9,20,2.3831,162,0,0
12,20,2.3896,163,0,0
12,20,2.4354,164,0,0
9,20,2.4812,165,0,0
7,20,2.4876,166,0,0
9,20,2.4896,167,0,0
8,20,2.4960,168,0,0
11,20,2.4996,169,0,0
11,20,2.5225,170,0,0
12,20,2.5454,171,0,0
9,20,2.5912,172,0,0
9,20,2.5976,173,0,0
10,20,2.6040,174,0,0
8,20,2.6169,175,0,0
7,20,2.6205,176,0,0
9,20,2.6224,177,0,0
9,20,2.6289,178,0,0
7,20,2.6353,179,0,0
10,20,2.6373,180,0,0
11,20,2.6502,181,0,0
11,20,2.6730,182,0,0
12,20,2.6959,183,0,0
8,20,2.7417,184,0,0
9,20,2.7453,185,0,0
11,20,2.7518,186,0,0
8,20,2.7746,187,0,0
10,20,2.7782,188,0,0
11,20,2.7911,189,0,0
10,20,2.8140,190,0,0
8,20,2.8269,191,0,0
9,20,2.8304,192,0,0
9,20,2.8369,193,0,0
10,20,2.8433,194,0,0
12,20,2.8562,195,0,0
11,20,2.9020,196,0,0
7,20,2.9249,197,0,0
11,20,2.9268,198,0,0
7,20,2.9497,199,0,0
8,20,2.9517,200,0,0
9,20,2.9553,201,0,0
8,20,2.9617,202,0,0
8,20,2.9653,203,0,0
12,20,2.9689,204,0,0
12,20,3.0146,205,0,0
7,20,3.0604,206,0,0
8,20,3.0624,207,0,0
9,20,3.0660,208,0,0
7,20,3.0724,209,0,0
12,20,3.0744,210,0,0
11,20,3.1202,211,0,0
12,20,3.1431,212,0,0
12,20,3.1889,213,0,0
12,20,3.2347,214,0,0
12,20,3.2805,215,0,0
9,20,3.3263,216,0,0
9,20,3.3327,217,0,0
9,20,3.3391,218,0,0
7,20,3.3456,219,0,0
10,20,3.3475,220,0,0
8,20,3.3604,221,0,0
8,20,3.3640,222,0,0
9,20,3.3675,223,0,0
9,20,3.3740,224,0,0
7,20,3.3804,225,0,0
9,20,3.3824,226,0,0
10,20,3.3888,227,0,0
11,20,3.4017,228,0,0
11,20,3.4246,229,0,0
10,20,3.4475,230,0,0
12,20,3.4604,231,0,0
11,20,3.5062,232,0,0
8,20,3.5290,233,0,0
12,20,3.5326,234,0,0
11,20,3.5784,235,0,0
11,20,3.6013,236,0,0
9,20,3.6242,237,0,0
11,20,3.6306,238,0,0
9,20,3.6535,239,0,0
10,20,3.6600,240,0,0
12,20,3.6729,241,0,0
11,20,3.7186,242,0,0
9,20,3.7415,243,0,0
7,20,3.7480,244,0,0
7,20,3.7499,245,0,0
12,20,3.7519,246,0,0
9,20,3.7977,247,0,0
12,20,3.8041,248,0,0
10,20,3.8499,249,0,0
9,20,3.8628,250,0,0
10,20,3.8692,251,0,0
8,20,3.8821,252,0,0
10,20,3.8857,253,0,0
11,20,3.8986,254,0,0
11,20,3.9215,255,0,0
9,20,3.9444,256,0,0
9,20,3.9508,257,0,0
12,20,3.9572,258,0,0
9,20,4.0030,259,0,0
8,20,4.0095,260,0,0
11,20,4.0130,261,0,0
8,20,4.0359,262,0,0
12,20,4.0395,263,0,0
10,20,4.0853,264,0,0
8,20,4.0982,265,0,0
8,20,4.1017,266,0,0
11,20,4.1053,267,0,0
9,20,4.1282,268,0,0
10,20,4.1346,269,0,0
11,20,4.1475,270,0,0
8,20,4.1704,271,0,0
11,20,4.1740,272,0,0
9,20,4.1969,273,0,0
10,20,4.2033,274,0,0
10,20,4.2162,275,0,0
8,20,4.2291,276,0,0
10,20,4.2326,277,0,0
11,20,4.2455,278,0,0
12,20,4.2684,279,0,0
7,20,4.3142,280,0,0
10,20,4.3162,281,0,0
12,20,4.3290,282,0,0
10,20,4.3748,283,0,0
7,20,4.3877,284,0,0
11,20,4.3897,285,0,0
7,20,4.4126,286,0,0
9,20,4.4145,287,0,0
10,20,4.4210,288,0,0
7,20,4.4338,289,0,0
9,20,4.4358,290,0,0
11,20,4.4422,291,0,0
7,20,4.4651,292,0,0
8,20,4.4671,293,0,0
11,20,4.4707,294,0,0
10,20,4.4936,295,0,0
10,20,4.5064,296,0,0
