# sf,power,energy,firstSentPacket,packetColid,packetTotalLost
8,20,41.5803,2689,0,0
10,20,41.5839,2690,0,0
8,20,41.5968,2691,0,0
11,20,41.6004,2692,0,0
12,20,41.6233,2693,0,0
9,20,41.6690,2694,0,0
10,20,41.6755,2695,0,0
11,20,41.6884,2696,0,0
9,20,41.7113,2697,0,0
10,20,41.7177,2698,0,0
9,20,41.7306,2699,0,0
9,20,41.7370,2700,0,0
9,20,41.7434,2701,0,0
12,20,41.7499,2702,0,0
11,20,41.7957,2703,0,0
7,20,41.8186,2704,0,0
11,20,41.8205,2705,0,0
11,20,41.8434,2706,0,0
7,20,41.8663,2707,0,0
7,20,41.8683,2708,0,0
9,20,41.8702,2709,0,0
11,20,41.8767,2710,0,0
10,20,41.8996,2711,0,0
9,20,41.9125,2712,0,0
11,20,41.9189,2713,0,0
8,20,41.9418,2714,0,0
12,20,41.9454,2715,0,0
11,20,41.9912,2716,0,0
9,20,42.0141,2717,0,0
7,20,42.0205,2718,0,0
11,20,42.0225,2719,0,0
12,20,42.0454,2720,0,0
7,20,42.0911,2721,0,0
11,20,42.0931,2722,0,0
12,20,42.1160,2723,0,0
11,20,42.1618,2724,0,0
11,20,42.1847,2725,0,0
7,20,42.2076,2726,0,0
11,20,42.2096,2727,0,0
11,20,42.2325,2728,0,0
10,20,42.2554,2729,0,0
8,20,42.2682,2730,0,0
10,20,42.2718,2731,0,0
7,20,42.2847,2732,0,0
11,20,42.2866,2733,0,0
11,20,42.3095,2734,0,0
11,20,42.3324,2735,0,0
12,20,42.3553,2736,0,0
8,20,42.4011,2737,0,0
7,20,42.4047,2738,0,0
11,20,42.4067,2739,0,0
8,20,42.4296,2740,0,0
10,20,42.4331,2741,0,0
11,20,42.4460,2742,0,0
7,20,42.4689,2743,0,0
10,20,42.4709,2744,0,0
11,20,42.4837,2745,0,0
11,20,42.5066,2746,0,0
11,20,42.5295,2747,0,0
12,20,42.5524,2748,0,0
10,20,42.5982,2749,0,0
11,20,42.6111,2750,0,0
11,20,42.6340,2751,0,0
11,20,42.6569,2752,0,0
11,20,42.6798,2753,0,0
10,20,42.7027,2754,0,0
11,20,42.7156,2755,0,0
7,20,42.7385,2756,0,0
11,20,42.7404,2757,0,0
8,20,42.7633,2758,0,0
7,20,42.7669,2759,0,0
12,20,42.7689,2760,0,0
11,20,42.8147,2761,0,0
10,20,42.8376,2762,0,0
9,20,42.8504,2763,0,0
9,20,42.8569,2764,0,0
8,20,42.8633,2765,0,0
11,20,42.8669,2766,0,0
9,20,42.8898,2767,0,0
10,20,42.8962,2768,0,0
9,20,42.9091,2769,0,0
9,20,42.9155,2770,0,0
7,20,42.9219,2771,0,0
11,20,42.9239,2772,0,0
11,20,42.9468,2773,0,0
10,20,42.9697,2774,0,0
12,20,42.9826,2775,0,0
11,20,43.0284,2776,0,0
7,20,43.0513,2777,0,0
9,20,43.0532,2778,0,0
10,20,43.0597,2779,0,0
9,20,43.0725,2780,0,0
12,20,43.0790,2781,0,0
8,20,43.1248,2782,0,0
8,20,43.1283,2783,0,0
9,20,43.1319,2784,0,0
12,20,43.1384,2785,0,0
11,20,43.1842,2786,0,0
11,20,43.2070,2787,0,0
11,20,43.2299,2788,0,0
10,20,43.2528,2789,0,0
7,20,43.2657,2790,0,0
11,20,43.2677,2791,0,0
9,20,43.2906,2792,0,0
10,20,43.2970,2793,0,0
7,20,43.3099,2794,0,0
8,20,43.3118,2795,0,0
8,20,43.3154,2796,0,0
10,20,43.3190,2797,0,0
12,20,43.3319,2798,0,0
11,20,43.3777,2799,0,0
7,20,43.4006,2800,0,0
10,20,43.4025,2801,0,0
9,20,43.4154,2802,0,0
11,20,43.4218,2803,0,0
7,20,43.4447,2804,0,0
9,20,43.4467,2805,0,0
11,20,43.4531,2806,0,0
9,20,43.4760,2807,0,0
8,20,43.4825,2808,0,0
7,20,43.4860,2809,0,0
8,20,43.4880,2810,0,0
11,20,43.4916,2811,0,0
12,20,43.5145,2812,0,0
7,20,43.5603,2813,0,0
11,20,43.5622,2814,0,0
12,20,43.5851,2815,0,0
8,20,43.6309,2816,0,0
8,20,43.6345,2817,0,0
10,20,43.6381,2818,0,0
7,20,43.6509,2819,0,0
11,20,43.6529,2820,0,0
8,20,43.6758,2821,0,0
8,20,43.6794,2822,0,0
10,20,43.6830,2823,0,0
9,20,43.6958,2824,0,0
10,20,43.7023,2825,0,0
8,20,43.7151,2826,0,0
12,20,43.7187,2827,0,0
8,20,43.7645,2828,0,0
7,20,43.7681,2829,0,0
10,20,43.7700,2830,0,0
12,20,43.7829,2831,0,0
7,20,43.8287,2832,0,0
12,20,43.8307,2833,0,0
11,20,43.8765,2834,0,0
7,20,43.8994,2835,0,0
11,20,43.9013,2836,0,0
8,20,43.9242,2837,0,0
11,20,43.9278,2838,0,0
9,20,43.9507,2839,0,0
10,20,43.9571,2840,0,0
11,20,43.9700,2841,0,0
12,20,43.9929,2842,0,0
11,20,44.0387,2843,0,0
11,20,44.0616,2844,0,0
7,20,44.0845,2845,0,0
11,20,44.0865,2846,0,0
7,20,44.1094,2847,0,0
9,20,44.1113,2848,0,0
9,20,44.1178,2849,0,0
11,20,44.1242,2850,0,0
10,20,44.1471,2851,0,0
8,20,44.1600,2852,0,0
7,20,44.1635,2853,0,0
11,20,44.1655,2854,0,0
11,20,44.1884,2855,0,0
11,20,44.2113,2856,0,0
9,20,44.2342,2857,0,0
11,20,44.2406,2858,0,0
9,20,44.2635,2859,0,0
11,20,44.2700,2860,0,0
8,20,44.2929,2861,0,0
11,20,44.2964,2862,0,0
12,20,44.3193,2863,0,0
8,20,44.3651,2864,0,0
8,20,44.3687,2865,0,0
9,20,44.3723,2866,0,0
11,20,44.3787,2867,0,0
8,20,44.4016,2868,0,0
12,20,44.4052,2869,0,0
11,20,44.4510,2870,0,0
10,20,44.4739,2871,0,0
12,20,44.4867,2872,0,0
9,20,44.5325,2873,0,0
10,20,44.5390,2874,0,0
12,20,44.5518,2875,0,0
11,20,44.5976,2876,0,0
8,20,44.6205,2877,0,0
7,20,44.6241,2878,0,0
9,20,44.6261,2879,0,0
12,20,44.6325,2880,0,0
10,20,44.6783,2881,0,0
11,20,44.6912,2882,0,0
10,20,44.7141,2883,0,0
10,20,44.7269,2884,0,0
12,20,44.7398,2885,0,0
11,20,44.7856,2886,0,0
9,20,44.8085,2887,0,0
7,20,44.8149,2888,0,0
10,20,44.8169,2889,0,0
10,20,44.8298,2890,0,0
9,20,44.8426,2891,0,0
12,20,44.8491,2892,0,0
12,20,44.8949,2893,0,0
10,20,44.9407,2894,0,0
12,20,44.9535,2895,0,0
9,20,44.9993,2896,0,0
11,20,45.0058,2897,0,0
9,20,45.0287,2898,0,0
11,20,45.0351,2899,0,0
8,20,45.0580,2900,0,0
8,20,45.0616,2901,0,0
8,20,45.0652,2902,0,0
11,20,45.0687,2903,0,0
10,20,45.0916,2904,0,0
10,20,45.1045,2905,0,0
9,20,45.1174,2906,0,0
11,20,45.1238,2907,0,0
12,20,45.1467,2908,0,0
9,20,45.1925,2909,0,0
8,20,45.1989,2910,0,0
12,20,45.2025,2911,0,0
8,20,45.2483,2912,0,0
11,20,45.2519,2913,0,0
9,20,45.2748,2914,0,0
12,20,45.2812,2915,0,0
7,20,45.3270,2916,0,0
12,20,45.3290,2917,0,0
8,20,45.3748,2918,0,0
9,20,45.3783,2919,0,0
9,20,45.3848,2920,0,0
7,20,45.3912,2921,0,0
8,20,45.3932,2922,0,0
9,20,45.3967,2923,0,0
7,20,45.4032,2924,0,0
11,20,45.4051,2925,0,0
7,20,45.4280,2926,0,0
12,20,45.4300,2927,0,0
7,20,45.4758,2928,0,0
11,20,45.4778,2929,0,0
12,20,45.5007,2930,0,0
11,20,45.5465,2931,0,0
10,20,45.5694,2932,0,0
9,20,45.5822,2933,0,0
12,20,45.5887,2934,0,0
11,20,45.6345,2935,0,0
11,20,45.6574,2936,0,0
10,20,45.6803,2937,0,0
11,20,45.6931,2938,0,0
7,20,45.7160,2939,0,0
8,20,45.7180,2940,0,0
11,20,45.7216,2941,0,0
12,20,45.7445,2942,0,0
8,20,45.7903,2943,0,0
7,20,45.7938,2944,0,0
7,20,45.7958,2945,0,0
10,20,45.7978,2946,0,0
12,20,45.8106,2947,0,0
11,20,45.8564,2948,0,0
9,20,45.8793,2949,0,0
